contact_sk,contact_id,account_id,owner_id,title,department,level,first_name,last_name,salutation,email,phone,mobile_phone,mailing_city,mailing_state,mailing_country,birthdate,gender_identity,languages,lead_source,has_opted_out_of_email,do_not_call,last_activity_date,clean_status,created_date,effective_start_date,effective_end_date,is_current
131c49025b605909e0e4fc2f9f9bfb91,003Hp00002pTA6fIAG,001Hp00002g1VGbIAM,005Hp00000hnUYPIA2,"SVP, Procurement",Procurement,Primary,Rose,Gonzalez,Ms.,rose@edge.com,(512) 757-6000,(512) 757-9340,,,,1971-10-10,,English,Trade Show,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
86e75537d080a2eb4515ff1c89ed3d4f,003Hp00002pTA6gIAG,001Hp00002g1VGbIAM,005Hp00000hnUYPIA2,CFO,Finance,Secondary,Sean,Forbes,Mr.,sean@edge.com,(512) 757-6000,(512) 757-4561,,,,1950-07-08,,English,Trade Show,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
cd258bc2af9f7e845eb408f34829ff44,003Hp00002pTA6hIAG,001Hp00002g1VGcIAM,005Hp00000hnUYPIA2,"VP, Facilities",,,Jack,Rogers,Mr.,jrogers@burlington.com,(336) 222-7000,,Burlington,NC,USA,,,,Web,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
a58033a4b75b8f4927808097772f0531,003Hp00002pTA6iIAG,001Hp00002g1VGdIAM,005Hp00000hnUYPIA2,"SVP, Administration and Finance",Finance,Primary,Pat,Stumuller,Ms.,pat@pyramid.net,(014) 427-4427,(014) 454-6364,Paris,,France,,,"French, English",,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
585ce4fdb61221f0236537fd21aec8c8,003Hp00002pTA6jIAG,001Hp00002g1VGeIAM,005Hp00000hnUYPIA2,"SVP, Operations",Internal Operations,Primary,Andy,Young,Mr,a_young@dickenson.com,(785) 241-6200,(785) 265-5350,Lawrence,KS,USA,,,English,Purchased List,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
5ac7a4aed149aef0d482f72fefad49d7,003Hp00002pTA6kIAG,001Hp00002g1VGfIAM,005Hp00000hnUYPIA2,"SVP, Administration and Finance",Finance,Secondary,Tim,Barr,Mr.,barr_tim@grandhotels.com,(312) 596-1000,(312) 596-1230,,,,1957-06-05,,English,External Referral,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
e8b0c6d159a822094c7c29b7471f828d,003Hp00002pTA6lIAG,001Hp00002g1VGfIAM,005Hp00000hnUYPIA2,"VP, Facilities",Facilities,Primary,John,Bond,Mr.,bond_john@grandhotels.com,(312) 596-1000,(312) 596-1563,,,,1959-08-17,,English,External Referral,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
4ac641aa340463b36c184039e20fd775,003Hp00002pTA6mIAG,001Hp00002g1VGgIAM,005Hp00000hnUYPIA2,"SVP, Production",Production,Tertiary,Stella,Pavlova,Ms.,spavlova@uog.com,(212) 842-5500,(212) 842-5501,,,,1947-01-31,,English,Public Relations,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
2df99f92798367973e77328ae4aa9568,003Hp00002pTA6nIAG,001Hp00002g1VGgIAM,005Hp00000hnUYPIA2,"SVP, Technology",Technology,Secondary,Lauren,Boyle,Ms.,lboyle@uog.com,(212) 842-5500,(212) 842-5611,,,,1964-03-15,,English,Public Relations,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
03da038480f28836ccdd39297f5464d1,003Hp00002pTA6oIAG,001Hp00002g1VGhIAM,005Hp00000hnUYPIA2,"SVP, Operations",Operations,Primary,Babara,Levy,Ms.,b.levy@expressl&t.net,(503) 421-7800,(503) 421-5451,,,,1940-09-16,,English,Word of mouth,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
65f1afad77a834278eebc86e92cb3a45,003Hp00002pTA6pIAG,001Hp00002g1VGhIAM,005Hp00000hnUYPIA2,"Director, Warehouse Mgmt",Warehouse Mgmt,Secondary,Josh,Davis,Mr.,j.davis@expressl&t.net,(503) 421-7800,(503) 421-4387,,,,1952-01-11,,English,Word of mouth,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
3cbf4598d2e243d50e54ed351aea8c0a,003Hp00002pTA6qIAG,001Hp00002g1VGiIAM,005Hp00000hnUYPIA2,Dean of Administration,Administration,Primary,Jane,Grey,Ms.,jane_gray@uoa.edu,(520) 773-9050,(520) 773-4539,,,,1947-11-28,,English,Word of mouth,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
cbe28632e1ce7cb435495d7f21b5cbad,003Hp00002pTA6rIAG,001Hp00002g1VGgIAM,005Hp00000hnUYPIA2,CEO,Executive Team,Secondary,Arthur,Song,Mr.,asong@uog.com,(212) 842-5500,(212) 842-4535,,,,1955-05-29,,English,Public Relations,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
d99d22bb61d576a572b1cf944f3f0bfb,003Hp00002pTA6sIAG,001Hp00002g1VGjIAM,005Hp00000hnUYPIA2,"VP, Finance",Finance,Primary,Ashley,James,Ms.,ajames@uog.com,+44 191 4956203,+44 191 3456234,,,,1950-02-05,,English,Public Relations,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
6e6b3203f240ff6a506f36eca2eba8c5,003Hp00002pTA6tIAG,001Hp00002g1VGkIAM,005Hp00000hnUYPIA2,Regional General Manager,Executive Team,Primary,Tom,Ripley,Mr.,tripley@uog.com,(650) 450-8810,(650) 345-7636,,,,1954-04-04,,English,Public Relations,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
ef4b57568c62d801b7bc2174a48a8b09,003Hp00002pTA6uIAG,001Hp00002g1VGkIAM,005Hp00000hnUYPIA2,"VP, Production",Production,Secondary,Liz,D'Cruz,Ms.,ldcruz@uog.com,(650) 450-8810,(650) 345-6637,,,,1965-07-15,,English,Public Relations,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
4671dd7b44f222a442be15667bde1cba,003Hp00002pTA6vIAG,001Hp00002g1VGlIAM,005Hp00000hnUYPIA2,"VP, Technology",Technology,Primary,Edna,Frank,Ms.,efrank@genepoint.com,(650) 867-3450,(650) 867-7686,,,,1945-12-20,,English,Partner,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
4aa69f769ce08c16b21d5e170782f1e1,003Hp00002pTA6wIAG,001Hp00002g1VGgIAM,005Hp00000hnUYPIA2,CFO,Finance,Primary,Avi,Green,Mr.,agreen@uog.com,(212) 842-5500,(212) 842-2383,,,,1937-05-09,,English,Public Relations,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
7a948737db55839c1548399ae2677b5e,003Hp00002pTA6xIAG,001Hp00002g1VGmIAM,005Hp00000hnUYPIA2,,,,Siddartha,Nedaerk,Ms.,,,,San Francisco,CA,US,,,,,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
438e09ded28b1f87309ee45c2926949c,003Hp00002pTA6yIAG,001Hp00002g1VGmIAM,005Hp00000hnUYPIA2,,,,Jake,Llorrac,Mr.,,,,,,,,,,,0,0,,Pending,2023-10-28 20:45:25,2026-04-24 06:47:20.118235,9999-12-31,True
