contact_id,isdeleted,masterrecordid,accountid,salutation,firstname,lastname,otherstreet,othercity,otherstate,otherpostalcode,othercountry,otherlatitude,otherlongitude,othergeocodeaccuracy,mailingstreet,mailingcity,mailingstate,mailingpostalcode,mailingcountry,mailinglatitude,mailinglongitude,mailinggeocodeaccuracy,phone,fax,mobilephone,homephone,otherphone,assistantphone,reportstoid,email,title,department,assistantname,leadsource,birthdate,description,ownerid,hasoptedoutofemail,hasoptedoutoffax,donotcall,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastactivitydate,lastcurequestdate,lastcuupdatedate,emailbouncedreason,emailbounceddate,jigsaw,jigsawcontactid,cleanstatus,individualid,pronouns,genderidentity,level__c,languages__c
003Hp00002pTA6fIAG,0,,001Hp00002g1VGbIAM,Ms.,Rose,Gonzalez,,,,,,,,,"313 Constitution Place Austin, TX 78767 USA",,,,,,,,(512) 757-6000,(512) 757-9000,(512) 757-9340,,,,,rose@edge.com,"SVP, Procurement",Procurement,,Trade Show,1971-10-10 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Primary,English
003Hp00002pTA6gIAG,0,,001Hp00002g1VGbIAM,Mr.,Sean,Forbes,,,,,,,,,"312 Constitution Place Austin, TX 78767 USA",,,,,,,,(512) 757-6000,(512) 757-9000,(512) 757-4561,,,,,sean@edge.com,CFO,Finance,,Trade Show,1950-07-08 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Secondary,English
003Hp00002pTA6hIAG,0,,001Hp00002g1VGcIAM,Mr.,Jack,Rogers,,,,,,,,,525 S. Lexington Ave,Burlington,NC,27215,USA,,,,(336) 222-7000,(336) 222-8000,,,,,,jrogers@burlington.com,"VP, Facilities",,,Web,,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,,
003Hp00002pTA6iIAG,0,,001Hp00002g1VGdIAM,Ms.,Pat,Stumuller,2 Place Jussieu,Paris,,75251,France,,,,2 Place Jussieu,Paris,,75251,France,,,,(014) 427-4427,(014) 427-4428,(014) 454-6364,,,(014) 427-4465,,pat@pyramid.net,"SVP, Administration and Finance",Finance,Jean Marie,,,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Primary,"French, English"
003Hp00002pTA6jIAG,0,,001Hp00002g1VGeIAM,Mr,Andy,Young,1301 Hoch Drive,Lawrence,KS,66045,USA,,,,1301 Hoch Drive,Lawrence,KS,66045,USA,,,,(785) 241-6200,,(785) 265-5350,,,,,a_young@dickenson.com,"SVP, Operations",Internal Operations,,Purchased List,,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Primary,English
003Hp00002pTA6kIAG,0,,001Hp00002g1VGfIAM,Mr.,Tim,Barr,,,,,,,,,"2335 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",,,,,,,,(312) 596-1000,(312) 596-1500,(312) 596-1230,,,,,barr_tim@grandhotels.com,"SVP, Administration and Finance",Finance,,External Referral,1957-06-05 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Secondary,English
003Hp00002pTA6lIAG,0,,001Hp00002g1VGfIAM,Mr.,John,Bond,,,,,,,,,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",,,,,,,,(312) 596-1000,(312) 596-1500,(312) 596-1563,,,,,bond_john@grandhotels.com,"VP, Facilities",Facilities,,External Referral,1959-08-17 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Primary,English
003Hp00002pTA6mIAG,0,,001Hp00002g1VGgIAM,Ms.,Stella,Pavlova,,,,,,,,,"1303 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-5501,,(212) 842-5543,(212) 842-5589,,spavlova@uog.com,"SVP, Production",Production,Audrey Haynes,Public Relations,1947-01-31 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Tertiary,English
003Hp00002pTA6nIAG,0,,001Hp00002g1VGgIAM,Ms.,Lauren,Boyle,,,,,,,,,"1304 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,(212) 842-5500,(212) 842-5501,(212) 842-5611,,,,,lboyle@uog.com,"SVP, Technology",Technology,,Public Relations,1964-03-15 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Secondary,English
003Hp00002pTA6oIAG,0,,001Hp00002g1VGhIAM,Ms.,Babara,Levy,,,,,,,,,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",,,,,,,,(503) 421-7800,(503) 421-7801,(503) 421-5451,,,(503) 421-6782,,b.levy@expressl&t.net,"SVP, Operations",Operations,Ron Sage,Word of mouth,1940-09-16 00:00:00,,005Hp00000hnUYPIA2,0,0,0,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,,,,,,,,Pending,,,,Primary,English
